支店コード,部署コード,勘定科目コード,金額
C00100,102,2095,297
C00100,104,2112,1648
C00100,303,2019,3930
C00100,103,2040,4625
C00100,302,2088,3132
C00100,303,1984,1665
C00100,101,1991,605
C00100,303,2064,3872
C00100,201,2136,4115
C00100,302,2181,1450
C00100,301,2095,3960
C00100,204,2019,732
C00100,203,2387,2764
C00100,205,2174,244
C00100,303,2143,2467
C00100,302,2394,2258
C00100,203,2040,4891
C00100,104,2174,2158
C00100,103,1984,912
C00100,301,2019,1487
C00100,102,2174,1208
C00100,201,1991,3811
C00100,203,2291,2111
C00100,301,2088,3528
C00100,302,2019,1239
C00100,205,2129,978
C00100,201,2181,2400
C00100,104,1991,3412
C00100,301,2143,3338
C00100,103,2033,3389
C00100,104,2167,1093
C00100,203,2088,1897
C00100,302,2064,401
C00100,204,2064,2043
C00100,303,2387,1711
C00100,101,2033,61
C00100,104,2318,4051
C00100,104,2136,1733
C00100,103,2019,3300
C00100,205,2136,2575
C00100,201,2387,622
C00100,302,1991,763
C00100,103,2318,2352
C00100,203,2019,3527
C00100,102,2129,4730
C00100,104,2064,2232
C00100,302,2071,3049
C00100,101,2129,2571
C00100,202,2026,3607
C00100,103,1991,281
C00100,201,2088,1643
C00100,101,2088,524
C00100,204,2181,166
C00100,101,2095,3218
C00100,205,2167,3642
C00100,303,1991,4634
C00100,204,2095,747
C00100,205,2143,4378
C00100,204,2026,3807
C00100,103,2129,2905
C00100,202,2167,3367
C00100,203,2033,3099
C00100,101,2019,3264
C00100,103,2143,1434
C00100,104,2394,1890
C00100,202,2394,3813
C00100,202,1984,439
C00100,101,2318,3068
C00100,104,2071,1949
C00100,205,2057,1562
C00100,301,2174,735
C00100,201,2129,912
C00100,103,2167,3095
C00100,101,2136,3784
C00100,202,2174,3208
C00100,204,2071,3753
C00100,303,2088,4450
C00100,104,2143,2889
C00100,102,2040,228
C00100,103,2136,3468
C00100,203,2064,2186
C00100,101,2040,2261
C00100,303,2181,1918
C00100,104,2387,3315
C00100,101,2181,1761
C00100,203,1991,4206
C00100,101,1984,4419
C00100,303,2167,3518
C00100,301,2129,4450
C00100,102,2033,1157
C00100,301,2057,4735
C00100,203,2136,2692
C00100,303,2129,2019
C00100,301,2064,4896
C00100,303,2095,386
C00100,104,2095,2502
C00100,302,2136,1680
C00100,205,2112,4883
C00100,204,2129,4884
C00100,203,1984,530
C00100,104,1984,3480
C00100,301,2112,3326
C00100,104,2033,4657
C00100,203,2112,4476
C00100,102,2019,1817
C00100,202,2095,4257
C00100,303,2033,4460
C00100,104,2129,889
C00100,102,2071,3552
C00100,203,2318,3814
